category,answer_type,query,gold_answer,model_answer,hit@k,rr@k,recall@k,f1,em,acc
Non-Disparagement,BOOL,Does this agreement include any 'Non-Disparagement' clause? Answer strictly with 'Yes' or 'No'.,Yes,No.,1,0.14285714285714285,1.0,,,0.0
Termination For Convenience,BOOL,Does this agreement include any 'Termination For Convenience' clause? Answer strictly with 'Yes' or 'No'.,No,Yes.,0,0.0,0.0,,,0.0
Rofr/Rofo/Rofn,BOOL,Does this agreement include any 'Rofr/Rofo/Rofn' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Change Of Control,BOOL,Does this agreement include any 'Change Of Control' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Anti-Assignment,BOOL,Does this agreement include any 'Anti-Assignment' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,1.0,1.0,,,1.0
Revenue/Profit Sharing,BOOL,Does this agreement include any 'Revenue/Profit Sharing' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Price Restrictions,BOOL,Does this agreement include any 'Price Restrictions' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Minimum Commitment,BOOL,Does this agreement include any 'Minimum Commitment' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,1.0,1.0,,,1.0
Volume Restriction,BOOL,Does this agreement include any 'Volume Restriction' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Ip Ownership Assignment,BOOL,Does this agreement include any 'Ip Ownership Assignment' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Joint Ip Ownership,BOOL,Does this agreement include any 'Joint Ip Ownership' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
License Grant,BOOL,Does this agreement include any 'License Grant' clause? Answer strictly with 'Yes' or 'No'.,Yes,No.,1,0.25,1.0,,,0.0
Non-Transferable License,BOOL,Does this agreement include any 'Non-Transferable License' clause? Answer strictly with 'Yes' or 'No'.,No,Yes.,0,0.0,0.0,,,0.0
Affiliate License-Licensor,BOOL,Does this agreement include any 'Affiliate License-Licensor' clause? Answer strictly with 'Yes' or 'No'.,No,No.,1,0.06666666666666667,1.0,,,1.0
Affiliate License-Licensee,BOOL,Does this agreement include any 'Affiliate License-Licensee' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Unlimited/All-You-Can-Eat-License,BOOL,Does this agreement include any 'Unlimited/All-You-Can-Eat-License' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Irrevocable Or Perpetual License,BOOL,Does this agreement include any 'Irrevocable Or Perpetual License' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Source Code Escrow,BOOL,Does this agreement include any 'Source Code Escrow' clause? Answer strictly with 'Yes' or 'No'.,No,No.,1,0.05555555555555555,1.0,,,1.0
Post-Termination Services,BOOL,Does this agreement include any 'Post-Termination Services' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Audit Rights,BOOL,Does this agreement include any 'Audit Rights' clause? Answer strictly with 'Yes' or 'No'.,Yes,No.,1,0.07692307692307693,1.0,,,0.0
Uncapped Liability,BOOL,Does this agreement include any 'Uncapped Liability' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Cap On Liability,BOOL,Does this agreement include any 'Cap On Liability' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,0.5,1.0,,,1.0
Liquidated Damages,BOOL,Does this agreement include any 'Liquidated Damages' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Warranty Duration,DURATION,"What is the Warranty Duration in this agreement? Answer with a number and unit, such as '3 years' or '12 months'.",Yes,90 days,1,0.25,1.0,,0.0,
Insurance,BOOL,Does this agreement include any 'Insurance' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Covenant Not To Sue,BOOL,Does this agreement include any 'Covenant Not To Sue' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Third Party Beneficiary,BOOL,Does this agreement include any 'Third Party Beneficiary' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Document Name,TEXT,What is the Document Name in this agreement?,VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT,"The Document Name in this agreement is ""Video-on-Demand Content License Agreement.""",1,0.16666666666666666,1.0,0.631578947368421,,
Parties,LIST_ENTITY,Who are the parties to this agreement? List the entity or individual names separated by semicolons.,"Rogers Cable Communications Inc. (""Rogers""); EuroMedia Holdings Corp. (""Licensor"")",Euromedia Holdings Corp.; Rogers; Rogers Cable Communications Inc.; Licensor,1,0.125,1.0,1.0,,
Agreement Date,DATE,What is the Agreement Date of this agreement? Answer strictly in the format mm/dd/yyyy.,7/11/06,07/11/2006,1,0.16666666666666666,1.0,,0.0,
Effective Date,DATE,What is the Effective Date of this agreement? Answer strictly in the format mm/dd/yyyy.,7/11/06,01/01/2024,0,0.0,0.0,,0.0,
Expiration Date,DATE,What is the Expiration Date of this agreement? Answer strictly in the format mm/dd/yyyy.,6/30/10,06/30/2025,0,0.0,0.0,,0.0,
Renewal Term,DURATION,"What is the Renewal Term in this agreement? Answer with a number and unit, such as '3 years' or '12 months'.",2 years,2 years,1,1.0,1.0,,1.0,
Governing Law,LOCATION,What is the Governing Law of this agreement? Answer with the name of a state or country only.,"Ontario, Canada",Ontario,1,1.0,1.0,,0.0,
Most Favored Nation,BOOL,Does this agreement include any 'Most Favored Nation' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,0.14285714285714285,1.0,,,1.0
Competitive Restriction Exception,BOOL,Does this agreement include any 'Competitive Restriction Exception' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Non-Compete,BOOL,Does this agreement include any 'Non-Compete' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Exclusivity,BOOL,Does this agreement include any 'Exclusivity' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
No-Solicit Of Customers,BOOL,Does this agreement include any 'No-Solicit Of Customers' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
No-Solicit Of Employees,BOOL,Does this agreement include any 'No-Solicit Of Employees' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Non-Disparagement,BOOL,Does this agreement include any 'Non-Disparagement' clause? Answer strictly with 'Yes' or 'No'.,No,No.,1,0.058823529411764705,1.0,,,1.0
Termination For Convenience,BOOL,Does this agreement include any 'Termination For Convenience' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes,1,0.5,1.0,,,1.0
Rofr/Rofo/Rofn,BOOL,Does this agreement include any 'Rofr/Rofo/Rofn' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Change Of Control,BOOL,Does this agreement include any 'Change Of Control' clause? Answer strictly with 'Yes' or 'No'.,No,Yes.,0,0.0,0.0,,,0.0
Anti-Assignment,BOOL,Does this agreement include any 'Anti-Assignment' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,1.0,1.0,,,1.0
Revenue/Profit Sharing,BOOL,Does this agreement include any 'Revenue/Profit Sharing' clause? Answer strictly with 'Yes' or 'No'.,Yes,No.,0,0.0,0.0,,,0.0
Price Restrictions,BOOL,Does this agreement include any 'Price Restrictions' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Minimum Commitment,BOOL,Does this agreement include any 'Minimum Commitment' clause? Answer strictly with 'Yes' or 'No'.,Yes,No.,1,0.07142857142857142,1.0,,,0.0
Volume Restriction,BOOL,Does this agreement include any 'Volume Restriction' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Ip Ownership Assignment,BOOL,Does this agreement include any 'Ip Ownership Assignment' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Joint Ip Ownership,BOOL,Does this agreement include any 'Joint Ip Ownership' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
License Grant,BOOL,Does this agreement include any 'License Grant' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,0.14285714285714285,1.0,,,1.0
Non-Transferable License,BOOL,Does this agreement include any 'Non-Transferable License' clause? Answer strictly with 'Yes' or 'No'.,No,Yes.,0,0.0,0.0,,,0.0
Affiliate License-Licensor,BOOL,Does this agreement include any 'Affiliate License-Licensor' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Affiliate License-Licensee,BOOL,Does this agreement include any 'Affiliate License-Licensee' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Unlimited/All-You-Can-Eat-License,BOOL,Does this agreement include any 'Unlimited/All-You-Can-Eat-License' clause? Answer strictly with 'Yes' or 'No'.,Yes,No.,1,0.5,1.0,,,0.0
Irrevocable Or Perpetual License,BOOL,Does this agreement include any 'Irrevocable Or Perpetual License' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Source Code Escrow,BOOL,Does this agreement include any 'Source Code Escrow' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Post-Termination Services,BOOL,Does this agreement include any 'Post-Termination Services' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Audit Rights,BOOL,Does this agreement include any 'Audit Rights' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes,1,1.0,1.0,,,1.0
Uncapped Liability,BOOL,Does this agreement include any 'Uncapped Liability' clause? Answer strictly with 'Yes' or 'No'.,Yes,No.,1,0.5,1.0,,,0.0
Cap On Liability,BOOL,Does this agreement include any 'Cap On Liability' clause? Answer strictly with 'Yes' or 'No'.,Yes,No.,1,1.0,1.0,,,0.0
Liquidated Damages,BOOL,Does this agreement include any 'Liquidated Damages' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Warranty Duration,DURATION,"What is the Warranty Duration in this agreement? Answer with a number and unit, such as '3 years' or '12 months'.",No,12 months,0,0.0,0.0,,0.0,
Insurance,BOOL,Does this agreement include any 'Insurance' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Covenant Not To Sue,BOOL,Does this agreement include any 'Covenant Not To Sue' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Third Party Beneficiary,BOOL,Does this agreement include any 'Third Party Beneficiary' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Document Name,TEXT,What is the Document Name in this agreement?,CONTENT DISTRIBUTION AND LICENSE AGREEMENT,"The Document Name is ""Content Distribution and License Agreement.""",1,1.0,1.0,0.7142857142857143,,
Parties,LIST_ENTITY,Who are the parties to this agreement? List the entity or individual names separated by semicolons.,"CONVERGTV, INC. (“ConvergTV”); Fulucai Productions Ltd. (""Producer"")","Producer; Fulucai Productions Ltd.; Convergtv; Convergtv, Inc.",1,0.16666666666666666,1.0,1.0,,
Agreement Date,DATE,What is the Agreement Date of this agreement? Answer strictly in the format mm/dd/yyyy.,11/15/12,11/15/2012,1,0.16666666666666666,1.0,,0.0,
Effective Date,DATE,What is the Effective Date of this agreement? Answer strictly in the format mm/dd/yyyy.,11/15/12,01/01/2023,0,0.0,0.0,,0.0,
Renewal Term,DURATION,"What is the Renewal Term in this agreement? Answer with a number and unit, such as '3 years' or '12 months'.","perpetual, 11/15/2014",2 years,1,1.0,1.0,,0.0,
Governing Law,LOCATION,What is the Governing Law of this agreement? Answer with the name of a state or country only.,Florida,Florida,1,1.0,1.0,,1.0,
Most Favored Nation,BOOL,Does this agreement include any 'Most Favored Nation' clause? Answer strictly with 'Yes' or 'No'.,No,No.,1,0.08333333333333333,1.0,,,1.0
Competitive Restriction Exception,BOOL,Does this agreement include any 'Competitive Restriction Exception' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Non-Compete,BOOL,Does this agreement include any 'Non-Compete' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Exclusivity,BOOL,Does this agreement include any 'Exclusivity' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,0.2,1.0,,,1.0
No-Solicit Of Customers,BOOL,Does this agreement include any 'No-Solicit Of Customers' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
No-Solicit Of Employees,BOOL,Does this agreement include any 'No-Solicit Of Employees' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Non-Disparagement,BOOL,Does this agreement include any 'Non-Disparagement' clause? Answer strictly with 'Yes' or 'No'.,No,No.,1,0.07692307692307693,1.0,,,1.0
Termination For Convenience,BOOL,Does this agreement include any 'Termination For Convenience' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Rofr/Rofo/Rofn,BOOL,Does this agreement include any 'Rofr/Rofo/Rofn' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Change Of Control,BOOL,Does this agreement include any 'Change Of Control' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Anti-Assignment,BOOL,Does this agreement include any 'Anti-Assignment' clause? Answer strictly with 'Yes' or 'No'.,No,No.,1,0.08333333333333333,1.0,,,1.0
Revenue/Profit Sharing,BOOL,Does this agreement include any 'Revenue/Profit Sharing' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,1.0,1.0,,,1.0
Price Restrictions,BOOL,Does this agreement include any 'Price Restrictions' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Minimum Commitment,BOOL,Does this agreement include any 'Minimum Commitment' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Volume Restriction,BOOL,Does this agreement include any 'Volume Restriction' clause? Answer strictly with 'Yes' or 'No'.,No,No.,1,0.07142857142857142,1.0,,,1.0
Ip Ownership Assignment,BOOL,Does this agreement include any 'Ip Ownership Assignment' clause? Answer strictly with 'Yes' or 'No'.,No,No.,1,0.06666666666666667,1.0,,,1.0
Joint Ip Ownership,BOOL,Does this agreement include any 'Joint Ip Ownership' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
License Grant,BOOL,Does this agreement include any 'License Grant' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,0.125,1.0,,,1.0
Non-Transferable License,BOOL,Does this agreement include any 'Non-Transferable License' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Affiliate License-Licensor,BOOL,Does this agreement include any 'Affiliate License-Licensor' clause? Answer strictly with 'Yes' or 'No'.,No,Yes.,0,0.0,0.0,,,0.0
Affiliate License-Licensee,BOOL,Does this agreement include any 'Affiliate License-Licensee' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,0.5,1.0,,,1.0
Unlimited/All-You-Can-Eat-License,BOOL,Does this agreement include any 'Unlimited/All-You-Can-Eat-License' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,0.3333333333333333,1.0,,,1.0
Irrevocable Or Perpetual License,BOOL,Does this agreement include any 'Irrevocable Or Perpetual License' clause? Answer strictly with 'Yes' or 'No'.,No,No.,1,0.0625,1.0,,,1.0
Source Code Escrow,BOOL,Does this agreement include any 'Source Code Escrow' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Post-Termination Services,BOOL,Does this agreement include any 'Post-Termination Services' clause? Answer strictly with 'Yes' or 'No'.,No,No.,1,0.05263157894736842,1.0,,,1.0
Audit Rights,BOOL,Does this agreement include any 'Audit Rights' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,1.0,1.0,,,1.0
Uncapped Liability,BOOL,Does this agreement include any 'Uncapped Liability' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Cap On Liability,BOOL,Does this agreement include any 'Cap On Liability' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Liquidated Damages,BOOL,Does this agreement include any 'Liquidated Damages' clause? Answer strictly with 'Yes' or 'No'.,No,No.,1,0.058823529411764705,1.0,,,1.0
Warranty Duration,DURATION,"What is the Warranty Duration in this agreement? Answer with a number and unit, such as '3 years' or '12 months'.",No,2 years,0,0.0,0.0,,0.0,
Insurance,BOOL,Does this agreement include any 'Insurance' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Covenant Not To Sue,BOOL,Does this agreement include any 'Covenant Not To Sue' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Third Party Beneficiary,BOOL,Does this agreement include any 'Third Party Beneficiary' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Document Name,TEXT,What is the Document Name in this agreement?,WEBSITE CONTENT LICENSE AGREEMENT,"The Document Name in this agreement is ""Website Content License Agreement.""",1,1.0,1.0,0.5333333333333333,,
Parties,LIST_ENTITY,Who are the parties to this agreement? List the entity or individual names separated by semicolons.,"PSiTech Corporation (""Licensor""); Empirical Ventures, Inc (""Licensee"")","PSI Tech Corporation; licensee; Empirical Ventures, Inc.",1,0.125,1.0,0.7142857142857143,,
Agreement Date,DATE,What is the Agreement Date of this agreement? Answer strictly in the format mm/dd/yyyy.,2/10/14,02/10/2014,1,0.1111111111111111,1.0,,0.0,
Effective Date,DATE,What is the Effective Date of this agreement? Answer strictly in the format mm/dd/yyyy.,2/10/14,01/01/2024,0,0.0,0.0,,0.0,
Expiration Date,DATE,What is the Expiration Date of this agreement? Answer strictly in the format mm/dd/yyyy.,2/10/19,06/30/2025,0,0.0,0.0,,0.0,
Renewal Term,DURATION,"What is the Renewal Term in this agreement? Answer with a number and unit, such as '3 years' or '12 months'.",3 years,3 years,1,1.0,1.0,,1.0,
Governing Law,LOCATION,What is the Governing Law of this agreement? Answer with the name of a state or country only.,Nevada,Nevada,1,1.0,1.0,,1.0,
Most Favored Nation,BOOL,Does this agreement include any 'Most Favored Nation' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Competitive Restriction Exception,BOOL,Does this agreement include any 'Competitive Restriction Exception' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Non-Compete,BOOL,Does this agreement include any 'Non-Compete' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Exclusivity,BOOL,Does this agreement include any 'Exclusivity' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,0.08333333333333333,1.0,,,1.0
No-Solicit Of Customers,BOOL,Does this agreement include any 'No-Solicit Of Customers' clause? Answer strictly with 'Yes' or 'No'.,No,No.,1,0.0625,1.0,,,1.0
No-Solicit Of Employees,BOOL,Does this agreement include any 'No-Solicit Of Employees' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Non-Disparagement,BOOL,Does this agreement include any 'Non-Disparagement' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Termination For Convenience,BOOL,Does this agreement include any 'Termination For Convenience' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Rofr/Rofo/Rofn,BOOL,Does this agreement include any 'Rofr/Rofo/Rofn' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Change Of Control,BOOL,Does this agreement include any 'Change Of Control' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,1.0,1.0,,,1.0
Anti-Assignment,BOOL,Does this agreement include any 'Anti-Assignment' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,1.0,1.0,,,1.0
Revenue/Profit Sharing,BOOL,Does this agreement include any 'Revenue/Profit Sharing' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,1.0,1.0,,,1.0
Price Restrictions,BOOL,Does this agreement include any 'Price Restrictions' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Minimum Commitment,BOOL,Does this agreement include any 'Minimum Commitment' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Volume Restriction,BOOL,Does this agreement include any 'Volume Restriction' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Ip Ownership Assignment,BOOL,Does this agreement include any 'Ip Ownership Assignment' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Joint Ip Ownership,BOOL,Does this agreement include any 'Joint Ip Ownership' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
License Grant,BOOL,Does this agreement include any 'License Grant' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,0.5,1.0,,,1.0
Non-Transferable License,BOOL,Does this agreement include any 'Non-Transferable License' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes.,1,0.5,1.0,,,1.0
Affiliate License-Licensor,BOOL,Does this agreement include any 'Affiliate License-Licensor' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Affiliate License-Licensee,BOOL,Does this agreement include any 'Affiliate License-Licensee' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Unlimited/All-You-Can-Eat-License,BOOL,Does this agreement include any 'Unlimited/All-You-Can-Eat-License' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Irrevocable Or Perpetual License,BOOL,Does this agreement include any 'Irrevocable Or Perpetual License' clause? Answer strictly with 'Yes' or 'No'.,No,No.,1,0.05555555555555555,1.0,,,1.0
Source Code Escrow,BOOL,Does this agreement include any 'Source Code Escrow' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Post-Termination Services,BOOL,Does this agreement include any 'Post-Termination Services' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Audit Rights,BOOL,Does this agreement include any 'Audit Rights' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes,1,1.0,1.0,,,1.0
Uncapped Liability,BOOL,Does this agreement include any 'Uncapped Liability' clause? Answer strictly with 'Yes' or 'No'.,Yes,No.,1,0.5,1.0,,,0.0
Cap On Liability,BOOL,Does this agreement include any 'Cap On Liability' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes,1,1.0,1.0,,,1.0
Liquidated Damages,BOOL,Does this agreement include any 'Liquidated Damages' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Warranty Duration,DURATION,"What is the Warranty Duration in this agreement? Answer with a number and unit, such as '3 years' or '12 months'.",No,5 years,0,0.0,0.0,,0.0,
Insurance,BOOL,Does this agreement include any 'Insurance' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Covenant Not To Sue,BOOL,Does this agreement include any 'Covenant Not To Sue' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Third Party Beneficiary,BOOL,Does this agreement include any 'Third Party Beneficiary' clause? Answer strictly with 'Yes' or 'No'.,No,No.,1,0.05,1.0,,,1.0
Document Name,TEXT,What is the Document Name in this agreement?,CONTENT LICENSE AGREEMENT,Content License Agreement,1,1.0,1.0,1.0,,
Parties,LIST_ENTITY,Who are the parties to this agreement? List the entity or individual names separated by semicolons.,"Beijing Sun Seven Stars Culture Development Limited (""Licensor""); YOU ON DEMAND HOLDINGS, INC (""Licensee"")","you on demand holdings, inc.; beijing sun seven stars culture development limited",1,0.09090909090909091,1.0,0.923076923076923,,
Agreement Date,DATE,What is the Agreement Date of this agreement? Answer strictly in the format mm/dd/yyyy.,12/21/15,12/21/2015,1,0.2,1.0,,0.0,
Effective Date,DATE,What is the Effective Date of this agreement? Answer strictly in the format mm/dd/yyyy.,12/21/15,01/01/2024,0,0.0,0.0,,0.0,
Expiration Date,DATE,What is the Expiration Date of this agreement? Answer strictly in the format mm/dd/yyyy.,12/21/35,06/30/2025,0,0.0,0.0,,0.0,
Governing Law,LOCATION,What is the Governing Law of this agreement? Answer with the name of a state or country only.,New York,New York,1,1.0,1.0,,1.0,
Most Favored Nation,BOOL,Does this agreement include any 'Most Favored Nation' clause? Answer strictly with 'Yes' or 'No'.,No,No.,1,0.07142857142857142,1.0,,,1.0
Competitive Restriction Exception,BOOL,Does this agreement include any 'Competitive Restriction Exception' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
Non-Compete,BOOL,Does this agreement include any 'Non-Compete' clause? Answer strictly with 'Yes' or 'No'.,No,No.,1,0.0625,1.0,,,1.0
Exclusivity,BOOL,Does this agreement include any 'Exclusivity' clause? Answer strictly with 'Yes' or 'No'.,No,No.,1,0.0625,1.0,,,1.0
No-Solicit Of Customers,BOOL,Does this agreement include any 'No-Solicit Of Customers' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,,,1.0
