query,gold_answer,pred_answer,answer_type,file_name,rerank_scores,clause_type,retrieval_time_ms,generation_time_ms,total_time_ms,hit@1,mrr@1,recall@1,precision@1,hit@3,mrr@3,recall@3,precision@3,hit@5,mrr@5,recall@5,precision@5,hit@10,mrr@10,recall@10,precision@10,f1,precision,recall,exact_match,simple_context_coverage,simple_answer_context_overlap,simple_ground_truth_coverage
Does this agreement include any 'Non-Transferable License' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,ArcGroupInc_20171211_8-K_EX-10.1_10976103_EX-10.1_Sponsorship Agreement.pdf,"[0.2379150390625, 0.2379150390625, 0.2379150390625, 0.2379150390625, 0.2379150390625, 0.2379150390625, 0.2379150390625, 0.2379150390625, 0.2379150390625, 0.2379150390625]",Non-Transferable License,721.6289043426514,29.857397079467773,751.5459060668945,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Does this agreement include any 'Revenue/Profit Sharing' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,GarrettMotionInc_20181001_8-K_EX-2.4_11364532_EX-2.4_Intellectual Property Agreement.pdf,"[0.68359375, 0.4599609375, 0.2239990234375, 0.2239990234375, 0.2239990234375, 0.2239990234375, 0.18359375, 0.1766357421875, 0.0894775390625, 0.0894775390625]",Revenue/Profit Sharing,892.437219619751,40.9698486328125,933.4356784820557,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
"What is the Warranty Duration in this agreement? Answer with a number and unit, such as '3 years' or '12 months'.",Yes,"The warranty duration is not explicitly stated in the provided contract clauses. Therefore, based on the information given, it cannot be determined. Answer: unknown.",boolean,CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT.PDF,"[0.206298828125, 0.1683349609375, 0.1629638671875, 0.085693359375, 0.06610107421875, 0.059967041015625, 0.048309326171875, 0.043426513671875, 0.042877197265625, 0.042572021484375]",Warranty Duration,1005.8917999267578,360.8739376068115,1366.8160438537598,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.1111111111111111,0.3333333333333333,0.1,0.0,0.0,0.0,0.0,0.45454545454545453,0.035874439461883414,0.0
Does this agreement include any 'Price Restrictions' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT.PDF","[0.1943359375, 0.1943359375, 0.1943359375, 0.1943359375, 0.1943359375, 0.1943359375, 0.1943359375, 0.1943359375, 0.1943359375, 0.1943359375]",Price Restrictions,812.6952648162842,27.95100212097168,840.6949043273926,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Does this agreement include any 'Uncapped Liability' clause? Answer strictly with 'Yes' or 'No'.,Yes,No,boolean,FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.pdf,"[0.5478515625, 0.2069091796875, 0.1900634765625, 0.1375732421875, 0.10107421875, 0.08270263671875, 0.055419921875, 0.0526123046875, 0.048492431640625, 0.048126220703125]",Uncapped Liability,927.4647235870361,57.00421333312988,984.5144748687744,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.25,0.5,0.2,1,0.25,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Does this agreement include any 'Non-Disparagement' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,"MetLife, Inc. - Remarketing Agreement.PDF","[0.236572265625, 0.236572265625, 0.236572265625, 0.236572265625, 0.236572265625, 0.236572265625, 0.236572265625, 0.236572265625, 0.236572265625, 0.236572265625]",Non-Disparagement,726.6671657562256,28.18608283996582,754.8952102661133,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
What is the Effective Date of this agreement? Answer strictly in the format mm/dd/yyyy.,4/7/17,04/07/2017,date,BravatekSolutionsInc_20170418_8-K_EX-10.1_10205739_EX-10.1_Reseller Agreement.pdf,"[0.1329345703125, 0.1329345703125, 0.132080078125, 0.107421875, 0.0850830078125, 0.0850830078125, 0.0850830078125, 0.0850830078125, 0.0850830078125, 0.0850830078125]",Effective Date,711.799144744873,127.06828117370605,838.8969898223877,1,1.0,1.0,1.0,1,1.0,1.0,0.3333333333333333,1,1.0,1.0,0.2,1,1.0,1.0,0.1,,,,0.0,0.3333333333333333,0.05,0.0
Does this agreement include any 'Most Favored Nation' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,RangeResourcesLouisianaInc_20150417_8-K_EX-10.5_9045501_EX-10.5_Transportation Agreement.pdf,"[0.19189453125, 0.19189453125, 0.19189453125, 0.19189453125, 0.19189453125, 0.19189453125, 0.19189453125, 0.19189453125, 0.19189453125, 0.19189453125]",Most Favored Nation,809.9253177642822,28.503894805908203,838.4501934051514,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Does this agreement include any 'Exclusivity' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes,boolean,"OPTIMIZEDTRANSPORTATIONMANAGEMENT,INC_07_26_2000-EX-6.6-DISTRIBUTOR AGREEMENT.PDF","[0.2958984375, 0.19189453125, 0.19189453125, 0.19189453125, 0.19189453125, 0.19189453125, 0.19189453125, 0.19189453125, 0.19189453125, 0.19189453125]",Exclusivity,925.790548324585,32.11212158203125,957.9594135284424,1,1.0,1.0,1.0,1,1.0,1.0,0.3333333333333333,1,1.0,1.0,0.2,1,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Does this agreement include any 'Change Of Control' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,HerImports_20161018_8-KA_EX-10.14_9765707_EX-10.14_Maintenance Agreement.pdf,"[0.203125, 0.203125, 0.203125, 0.203125, 0.203125, 0.203125, 0.203125, 0.203125, 0.203125, 0.203125]",Change Of Control,415.65823554992676,28.479576110839844,444.1802501678467,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Does this agreement include any 'Revenue/Profit Sharing' clause? Answer strictly with 'Yes' or 'No'.,Yes,No,boolean,STWRESOURCESHOLDINGCORP_08_06_2014-EX-10.1-COOPERATION AGREEMENT.PDF,"[0.216064453125, 0.216064453125, 0.216064453125, 0.216064453125, 0.216064453125, 0.216064453125, 0.216064453125, 0.216064453125, 0.216064453125, 0.216064453125]",Revenue/Profit Sharing,832.0596218109131,29.060840606689453,861.1674308776855,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Does this agreement include any 'Liquidated Damages' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,VITAMINSHOPPECOMINC_09_13_1999-EX-10.26-SPONSORSHIP AGREEMENT.PDF,"[0.802734375, 0.2254638671875, 0.2254638671875, 0.2254638671875, 0.2254638671875, 0.2254638671875, 0.2254638671875, 0.2254638671875, 0.2254638671875, 0.2254638671875]",Liquidated Damages,755.6712627410889,32.26113319396973,787.959098815918,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.02857142857142857,1.0
Does this agreement include any 'License Grant' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,SMITHELECTRICVEHICLESCORP_04_04_2012-EX-10.26-FLEET MAINTENANCE AGREEMENT.PDF,"[0.2239990234375, 0.2239990234375, 0.2239990234375, 0.2239990234375, 0.2239990234375, 0.2239990234375, 0.2239990234375, 0.2239990234375, 0.2239990234375, 0.2239990234375]",License Grant,897.4077701568604,29.08921241760254,926.5403747558594,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.1,1.0,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Does this agreement include any 'Termination For Convenience' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement.pdf,"[0.1634521484375, 0.1634521484375, 0.1634521484375, 0.1634521484375, 0.1634521484375, 0.1634521484375, 0.1634521484375, 0.1634521484375, 0.1634521484375, 0.1634521484375]",Termination For Convenience,1215.9976959228516,28.985977172851562,1245.0282573699951,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Does this agreement include any 'Unlimited/All-You-Can-Eat-License' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement.pdf,"[0.2315673828125, 0.2247314453125, 0.2247314453125, 0.1812744140625, 0.1795654296875, 0.08062744140625, 0.07891845703125, 0.071044921875, 0.06329345703125, 0.0574951171875]",Unlimited/All-You-Can-Eat-License,998.4118938446045,50.4150390625,1048.851490020752,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0035842293906810036,1.0
Does this agreement include any 'Insurance' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,SalesforcecomInc_20171122_10-Q_EX-10.1_10961535_EX-10.1_Reseller Agreement.pdf,"[0.1943359375, 0.1943359375, 0.1943359375, 0.1943359375, 0.1943359375, 0.1943359375, 0.1943359375, 0.1943359375, 0.1943359375, 0.1943359375]",Insurance,498.1212615966797,28.460025787353516,526.6029834747314,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.125,1.0,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0
